user_id,new_id,order
27,5337,0
27,40,1
27,348950,2
27,23539,3
26,1874,0
26,775139,1
26,49,2
26,48,3
42,196400,0
42,7,1
42,134,2
42,140,3
35,20332,0
35,1043,1
35,4739,2
35,47847,3
8,251,0
8,2349,1
8,309342,2
8,311247,3
38,7,0
38,48,1
38,357,2
38,355,3
54,4972,0
54,1038,1
54,331663,2
54,775029,3
61,869422,0
61,10080,1
61,22311,2
61,448,3
1,297222,0
1,131607,1
1,148690,2
1,374385,3
97,1010,0
97,405,1
97,406,2
97,418,3
68,1058019,0
68,277,1
68,13,2
68,49,3
117,16048,0
117,357,1
117,64947,2
117,5116,3
32,837522,0
32,433656,1
32,753578,2
32,841890,3
6,122240835,0
6,122272000,1
6,122256642,2
6,122278080,3
81,12013123,0
81,3173,1
81,1322,2
81,64,3
82,302,0
82,303,1
82,304,2
82,38,3
147,209799,0
147,12742,1
147,23250,2
147,184490,3
103,18357,0
103,1882,1
103,1328,2
103,47865,3
2,858783,0
2,703929,1
2,1124656,2
2,12242089,3
63,868155,0
63,7123,1
63,711117,2
63,2181,3
135,7,0
135,2,1
135,56,2
135,108,3
173,11929091,0
173,11898268,1
173,11743748,2
173,36623,3
86,1494,0
86,1483,1
86,1479,2
86,1352,3
163,122271434,0
163,1163371,1
163,12052880,2
163,12059321,3
201,55015,0
201,10926,1
201,129853,2
201,1654,3
174,944474,0
174,752850,1
174,940060,2
174,11767227,3
206,882,0
206,588,1
206,886,2
206,5,3
162,413965,0
162,651,1
162,150936,2
162,16061,3
130,664499,0
130,721540,1
130,765837,2
130,719432,3
227,1109,0
227,84,1
227,790,2
227,2426,3
226,49,0
226,48,1
226,567,2
226,137,3
223,5839,0
223,56440,1
223,55097,2
223,42118,3
139,248,0
139,152,1
139,13,2
139,540,3
31,624963,0
31,16,1
31,530003,2
31,631082,3
254,736,0
254,1,1
254,64463,2
254,61651,3
250,861536,0
250,721,1
250,866308,2
250,619967,3
288,11972679,0
288,12141226,1
288,1245389,2
288,12227680,3
260,4519,0
260,987,1
260,2461,2
260,207930,3
228,374,0
228,567,1
228,357,2
228,359,3
240,180646,0
240,8646,1
240,222712,2
240,171541,3
249,731503,0
249,1748,1
249,11651886,2
249,695,3
279,164130,0
279,451961,1
279,232544,2
279,331333,3
273,122278704,0
273,122277603,1
273,122278026,2
273,122279400,3
263,1194,0
263,1880,1
263,3181,2
263,941,3
136,1104920,0
136,12089353,1
136,11968107,2
136,1022977,3
284,15450,0
284,115073,1
284,357,2
284,359,3
300,56,0
300,2,1
300,7,2
300,1062,3
267,220,0
267,61651,1
267,71244,2
267,100083,3
289,435848,0
289,2349,1
289,875678,2
289,7123,3
281,188793,0
281,1713,1
281,175390,2
281,144526,3
270,4,0
270,5,1
270,6,2
270,27864,3
309,11624318,0
309,979303,1
309,763011,2
309,694200,3
308,49,0
308,48,1
308,567,2
308,921,3
312,108,0
312,357,1
312,358,2
312,355,3
307,57125,0
307,1069054,1
307,1086421,2
307,1343,3
329,1200,0
329,359,1
329,355,2
329,358,3
319,738219,0
319,683238,1
319,691961,2
319,247555,3
292,561325,0
292,218579,1
292,394765,2
292,261433,3
195,1647,0
195,748533,1
195,813676,2
195,330147,3
210,1237,0
210,2178,1
210,1703,2
210,697532,3
336,848,0
336,1631,1
336,139449,2
336,49,3
334,567,0
334,13112,1
334,9559,2
334,958,3
306,122232852,0
306,122247979,1
306,378568,2
306,533024,3
338,16061,0
338,16048,1
338,39044,2
338,11660672,3
349,49,0
349,48,1
349,567,2
349,921,3
313,96064,0
313,915037,1
313,790073,2
313,11690443,3
352,398,0
352,1768,1
352,17976,2
352,1161,3
323,52793,0
323,959,1
323,715,2
323,717,3
345,49,0
345,1018,1
345,248,2
345,1200,3
359,271930,0
359,46736,1
359,2462,2
359,618,3
387,1194,0
387,298210,1
387,244722,2
387,242567,3
382,49,0
382,48,1
382,567,2
382,921,3
730,19192,0
730,304459,1
730,356242,2
730,307368,3
601,2655,0
601,182,1
601,5469,2
601,68090,3
712,65983,0
712,11647619,1
712,9498,2
712,531532,3
709,715245,0
709,564587,1
709,720352,2
709,523879,3
693,805,0
693,153458,1
693,146223,2
693,149781,3
715,861536,0
715,261171,1
715,12192233,2
715,308,3
749,377422,0
749,615632,1
749,980390,2
749,16048,3
734,12142,0
734,195,1
734,525,2
734,49,3
729,49,0
729,1732,1
729,945,2
729,48,3
773,2,0
773,101,1
773,1043,2
773,2598,3
750,25835,0
750,61651,1
750,736,2
750,64463,3
703,12117842,0
703,866308,1
703,853010,2
703,11961023,3
640,139550,0
640,72205,1
640,52748,2
640,129729,3
796,30129,0
796,1,1
796,1500,2
796,134,3
748,233521,0
748,139449,1
748,862549,2
748,746463,3
802,49,0
802,4624,1
802,35007,2
802,63411,3
803,358,0
803,562,1
803,355,2
803,1200,3
793,11933177,0
793,11931865,1
793,12127899,2
793,738219,3
747,8094,0
747,12137424,1
747,12219299,2
747,12245605,3
770,358,0
770,357,1
770,48,2
770,108,3
804,180,0
804,797,1
804,1707,2
804,609,3
813,49,0
813,48,1
813,567,2
813,921,3
800,392350,0
800,697535,1
800,96582,2
800,878668,3
790,861536,0
790,982995,1
790,102,2
790,37871,3
735,405416,0
735,591328,1
735,818759,2
735,250688,3
801,416733,0
801,839591,1
801,853010,2
801,91339,3
823,49352,0
823,55883,1
823,827,2
823,100083,3
818,357,0
818,359,1
818,108,2
818,1200,3
835,157355,0
835,324122,1
835,941,2
835,21203,3
853,651,0
853,17275,1
853,945,2
853,101,3
834,650642,0
834,653,1
834,652,2
834,641,3
788,747864,0
788,1201615,1
788,2278,2
788,518566,3
711,11847664,0
711,11625226,1
711,1035538,2
711,941,3
901,1135,0
901,357,1
901,358,2
901,355,3
888,247555,0
888,289721,1
888,248,2
888,348,3
780,49,0
780,48,1
780,567,2
780,18562,3
871,924,0
871,573,1
871,357,2
871,359,3
923,11938895,0
923,12029125,1
923,11965058,2
923,11743440,3
910,11875348,0
910,1259,1
910,888208,2
910,1574,3
827,740192,0
827,832362,1
827,811538,2
827,1631,3
931,432240,0
931,3777,1
931,817122,2
931,331663,3
908,872128,0
908,12070882,1
908,1209255,2
908,150647,3
929,12230770,0
929,12051441,1
929,11779384,2
929,12222393,3
947,5635,0
947,55,1
947,696,2
947,210973,3
951,693,0
951,126,1
951,248,2
951,348,3
935,648115,0
935,765837,1
935,716327,2
935,119284,3
953,573,0
953,108,1
953,357,2
953,21723,3
829,799475,0
829,619967,1
829,406036,2
829,740192,3
915,5672,0
915,11325,1
915,878890,2
915,475,3
971,758430,0
971,816490,1
971,3837,2
971,621466,3
960,192509,0
960,15714,1
960,884,2
960,101,3
972,813753,0
972,408566,1
972,12085022,2
972,110,3
942,765747,0
942,111831,1
942,388286,2
942,386352,3
980,12222393,0
980,981,1
980,12125161,2
980,898478,3
975,839740,0
975,162219,1
975,568160,2
975,693605,3
955,108,0
955,357,1
955,358,2
955,355,3
874,12245857,0
874,805891,1
874,858783,2
874,1240765,3
981,358,0
981,562,1
981,355,2
981,1200,3
1002,15841,0
1002,10960,1
1002,10208,2
1002,8078,3
1019,676,0
1019,358,1
1019,562,2
